Time,Temperature,Setpoint,Control_Signal
68.1,61.6877,50,52.9121
68.2,61.6831,50,53.5357
68.3,61.276,50,58.0153
68.4,61.194,50,54.409
68.5,60.7814,50,58.2067
68.6,60.6701,50,54.9395
68.7,61.0365,50,48.694
68.8,60.7778,50,55.0529
68.9,60.5108,50,55.2783
69,60.4264,50,53.1423
69.1,60.151,50,55.2327
69.2,60.1878,50,51.5089
69.3,59.8923,50,55.077
69.4,59.621,50,55.0311
69.5,59.9101,50,48.2095
69.6,60.0479,50,48.8763
69.7,59.6356,50,54.9248
69.8,59.2525,50,55.1288
69.9,59.5636,50,46.931
70,59.0412,50,56.1194
70.1,59.046,85,100
70.2,59.1125,85,100
70.3,59.247,85,100
70.4,59.5627,85,100
70.5,59.5264,85,100
70.6,59.7328,85,100
70.7,59.6644,85,100
70.8,59.3992,85,100
70.9,60.0014,85,100
71,60.0083,85,100
71.1,59.8517,85,100
71.2,60.1097,85,100
71.3,60.1442,85,100
71.4,60.3973,85,100
71.5,60.7125,85,100
71.6,60.5152,85,100
71.7,60.9462,85,100
71.8,61.0075,85,100
71.9,60.4779,85,100
72,61.0311,85,100
72.1,60.4999,85,100
72.2,60.9887,85,100
72.3,61.3033,85,100
72.4,61.0116,85,100
72.5,61.5804,85,100
72.6,61.5869,85,100
72.7,61.3391,85,100
72.8,62.0211,85,100
72.9,61.6644,85,100
73,62.0415,85,100
73.1,61.8708,85,100
73.2,61.5685,85,100
73.3,61.9082,85,100
73.4,62.1578,85,100
73.5,61.6985,85,100
73.6,62.4368,85,100
73.7,62.5617,85,100
73.8,62.0461,85,100
73.9,62.909,85,100
74,62.5881,85,100
74.1,62.5602,85,100
74.2,62.7214,85,100
74.3,62.8429,85,100
74.4,63.2487,85,100
74.5,63.2281,85,100
74.6,63.1215,85,100
74.7,63.023,85,100
74.8,63.5204,85,100
74.9,63.262,85,100
75,63.4682,85,100
75.1,63.1393,85,100
75.2,63.2437,85,100
75.3,63.5393,85,100
75.4,63.4878,85,100
75.5,63.6524,85,100
75.6,63.6511,85,100
75.7,63.7692,85,100
75.8,63.7272,85,100
75.9,64.0019,85,100
76,63.9365,85,100
76.1,64.3061,85,100
76.2,64.3564,85,100
76.3,64.1258,85,100
76.4,63.9938,85,100
76.5,63.8383,85,100
76.6,64.2023,85,100
76.7,64.6195,85,100
76.8,64.0642,85,100
76.9,64.3709,85,100
77,64.6804,85,100
77.1,64.4534,85,100
77.2,64.4635,85,100
77.3,64.4462,85,100
77.4,64.7268,85,100
77.5,64.7367,85,100
77.6,64.6042,85,100
77.7,65.0679,85,100
77.8,64.6192,85,100
77.9,64.8165,85,100
78,65.1136,85,100
78.1,65.4207,85,100
78.2,65.0176,85,100
78.3,65.2085,85,100
78.4,65.4625,85,100
78.5,65.4541,85,100
78.6,65.2353,85,100
78.7,65.4382,85,100
78.8,65.652,85,100
78.9,65.6012,85,100
79,65.3612,85,100
79.1,65.3949,85,100
79.2,65.5784,85,100
79.3,65.8671,85,100
79.4,65.9147,85,100
79.5,65.1278,85,100
79.6,65.761,85,100
79.7,65.4084,85,100
79.8,65.9528,85,100
79.9,65.9973,85,100
80,66.0652,85,100
80.1,66.184,85,100
80.2,65.8526,85,100
80.3,65.7383,85,100
80.4,66.0754,85,100
80.5,66.214,85,100
80.6,66.0349,85,100
80.7,66.0593,85,100
80.8,66.2655,85,100
80.9,66.0995,85,100
81,66.5372,85,100
81.1,66.7991,85,100
81.2,66.424,85,100
81.3,66.3013,85,100
81.4,66.3904,85,100
81.5,66.5014,85,100
81.6,66.8929,85,100
